block_no,strategy,rounds,total_return,mean_return_per_round,sd_return_per_round,wins,losses,pushes,splits,doubles,win_rate,loss_rate
1,Basic,100,-8.0,-0.08,1.1117371973445864,39,47,5,2,6,0.39,0.47
2,Simplified,100,8.5,0.085,1.0151752597856234,35,39,11,0,0,0.35,0.39
3,Basic,100,-5.5,-0.055,1.1098616712423799,39,50,5,0,7,0.39,0.5
4,Simplified,100,-6.5,-0.065,1.0339074651363374,33,50,5,0,0,0.33,0.5
5,Basic,100,-25.5,-0.255,1.1225309606312681,34,55,6,3,7,0.34,0.55
6,Simplified,100,-11.5,-0.115,0.9817912921869602,37,52,6,0,0,0.37,0.52
7,Basic,100,12.5,0.125,1.1728731018875458,40,39,7,3,11,0.4,0.39
8,Simplified,100,-7.5,-0.075,0.9753916592266352,38,46,9,0,0,0.38,0.46
9,Basic,100,0.5,0.005,1.122530960631268,37,40,15,4,8,0.37,0.4
10,Simplified,100,-3.0,-0.03,0.9944797127090623,40,47,7,0,0,0.4,0.47
11,Basic,100,-17.5,-0.175,1.1086778913041726,33,51,8,4,10,0.33,0.51
12,Simplified,100,-1.5,-0.015,0.9986227890186938,43,45,5,0,0,0.43,0.45
13,Basic,100,15.0,0.15,1.1157730481372523,45,34,9,0,9,0.45,0.34
14,Simplified,100,-14.0,-0.14,0.9823698412769525,38,51,5,0,0,0.38,0.51
15,Basic,100,-1.5,-0.015,1.1224409727792979,40,40,9,4,7,0.4,0.4
16,Simplified,100,-5.0,-0.05,1.0037807318213263,40,48,5,0,0,0.4,0.48
17,Basic,100,14.5,0.145,1.1812829013108135,46,38,7,3,10,0.46,0.38
18,Simplified,100,-9.5,-0.095,1.0192466023311708,34,45,5,0,0,0.34,0.45
19,Basic,100,9.0,0.09,1.113235343174537,40,38,13,4,8,0.4,0.38
20,Simplified,100,-4.0,-0.04,1.0092501466860724,41,47,4,0,0,0.41,0.47
21,Basic,100,7.5,0.075,1.1857210225994745,42,39,11,3,16,0.42,0.39
22,Simplified,100,-2.5,-0.025,1.0109876159458926,40,46,4,0,0,0.4,0.46
23,Basic,100,12.0,0.12,1.1593275654621535,43,41,9,1,12,0.43,0.41
24,Simplified,100,-11.0,-0.11,1.008999904896333,38,52,3,0,0,0.38,0.52
25,Basic,100,14.5,0.145,1.200368209502334,44,34,14,3,18,0.44,0.34
26,Simplified,100,-28.0,-0.28,0.9595874534444897,28,56,5,0,0,0.28,0.56
27,Basic,100,-4.5,-0.045,1.1957310430329755,40,48,4,7,7,0.4,0.48
28,Simplified,100,-10.0,-0.1,1.0200019805882927,32,48,6,0,0,0.32,0.48
29,Basic,100,14.5,0.145,1.2212243401148248,40,37,12,7,14,0.4,0.37
30,Simplified,100,-2.0,-0.02,0.9972689980870029,37,47,7,0,0,0.37,0.47
31,Basic,100,0.0,0.0,1.2653102785523007,41,42,5,5,14,0.41,0.42
32,Simplified,100,-18.0,-0.18,0.9757669865911696,36,51,5,0,0,0.36,0.51
33,Basic,100,-11.0,-0.11,1.1904077902427834,30,53,10,4,13,0.3,0.53
34,Simplified,100,-1.0,-0.01,0.9948859129558422,41,47,7,0,0,0.41,0.47
35,Basic,100,5.0,0.05,1.1944738074849848,42,44,5,2,11,0.42,0.44
36,Simplified,100,9.5,0.095,1.0315600620497876,41,41,5,0,0,0.41,0.41
37,Basic,100,0.5,0.005,1.0859409177149908,40,43,10,2,8,0.4,0.43
38,Simplified,100,15.0,0.15,1.0187633620614691,45,39,5,0,0,0.45,0.39
39,Basic,100,-12.5,-0.125,1.1379029977652895,36,51,6,2,8,0.36,0.51
40,Simplified,100,-34.0,-0.34,0.9097674250470652,26,58,9,0,0,0.26,0.58
41,Basic,100,-18.0,-0.18,1.1448611578296604,35,46,10,4,9,0.35,0.46
42,Simplified,100,10.0,0.1,1.0298573010888745,43,42,4,0,0,0.43,0.42
43,Basic,100,12.5,0.125,1.135681613513544,38,42,9,2,9,0.38,0.42
44,Simplified,100,2.0,0.02,0.9997979593877752,43,42,6,0,0,0.43,0.42
45,Basic,100,11.0,0.11,1.2093491028339387,46,44,6,2,16,0.46,0.44
46,Simplified,100,-17.5,-0.175,0.9933490948515654,36,51,3,0,0,0.36,0.51
47,Basic,100,-10.0,-0.1,1.0940611029415575,38,45,10,3,10,0.38,0.45
48,Simplified,100,2.5,0.025,1.005979596957587,42,44,6,0,0,0.42,0.44
49,Basic,100,-3.0,-0.03,1.1651938755746907,37,42,14,4,12,0.37,0.42
50,Simplified,100,4.5,0.045,0.9694708543188585,47,38,8,0,0,0.47,0.38
