round_no,block_no,strategy,shoe_no,hand_id,parent_hand_id,from_split,split_aces,initial_player_cards,final_player_cards,dealer_upcard,dealer_final_cards,player_total,dealer_total,actions,bet_units,outcome,net_return
1,1,Basic,2,1,0,False,False,Q 2,Q 2 8,9,9 8,20,17,hit > stand,1.0,win,1.0
2,1,Basic,3,1,0,False,False,8 5,8 5 K,Q,Q K,23,20,hit,1.0,loss_bust,-1.0
3,1,Basic,4,1,0,False,False,8 4,8 4 2 5,7,7 J,19,17,hit > hit > stand,1.0,win,1.0
4,1,Basic,5,1,0,False,False,7 3,7 3 Q,10,10 6 2,20,18,hit > stand,1.0,win,1.0
5,1,Basic,6,1,0,False,False,4 4,4 4 A,8,8 6 10,19,24,hit > stand,1.0,win_dealer_bust,1.0
6,1,Basic,7,1,0,False,False,2 K,2 K Q,Q,Q K,22,20,hit,1.0,loss_bust,-1.0
7,1,Basic,8,1,1,True,False,2 K,2 K 4,3,3 3 5 9,16,20,hit > stand,1.0,loss,-1.0
7,1,Basic,8,2,1,True,False,2 10,2 10 3,3,3 3 5 9,15,20,hit > stand,1.0,loss,-1.0
8,1,Basic,9,1,0,False,False,2 A,2 A 2 6,9,9 3 A 7,21,20,hit > hit,1.0,win,1.0
9,1,Basic,10,1,0,False,False,8 10,8 10,9,9 8,18,17,stand,1.0,win,1.0
10,1,Basic,11,1,0,False,False,A 6,A 6 5 5,2,2 5 J,17,17,hit > hit > stand,1.0,push,0.0
11,1,Basic,12,1,0,False,False,10 7,10 7,J,J 8,17,18,stand,1.0,loss,-1.0
12,1,Basic,13,1,0,False,False,7 9,7 9 3,7,7 6 6,19,19,hit > stand,1.0,push,0.0
13,1,Basic,14,1,0,False,False,2 7,2 7 3 3 J,A,A 2,25,13,hit > hit > hit,1.0,loss_bust,-1.0
14,1,Basic,15,1,0,False,False,A 4,A 4 9 J,Q,Q 5,24,15,hit > hit,1.0,loss_bust,-1.0
15,1,Basic,16,1,0,False,False,K 4,K 4,3,3 5 2 5 Q,14,25,stand,1.0,win_dealer_bust,1.0
16,1,Basic,17,1,0,False,False,9 7,9 7 10,Q,Q 3,26,13,hit,1.0,loss_bust,-1.0
17,1,Basic,18,1,0,False,False,K A,K A,5,5 3,21,8,blackjack_check,1.0,player_blackjack,1.5
18,1,Basic,19,1,0,False,False,K 2,K 2 8,9,9 2 J,20,21,hit > stand,1.0,loss,-1.0
19,1,Basic,20,1,0,False,False,A J,A J,K,K 4,21,14,blackjack_check,1.0,player_blackjack,1.5
20,1,Basic,21,1,0,False,False,3 6,3 6 3 J,J,J 4,22,14,hit > hit,1.0,loss_bust,-1.0
21,1,Basic,22,1,0,False,False,6 3,6 3 Q,4,4 4 7 K,19,25,double,2.0,win_dealer_bust,2.0
22,1,Basic,23,1,0,False,False,A 8,A 8,8,8 K,19,18,stand,1.0,win,1.0
23,1,Basic,24,1,0,False,False,5 7,5 7,5,5 A 9 8,12,23,stand,1.0,win_dealer_bust,1.0
24,1,Basic,25,1,0,False,False,7 4,7 4 A,2,2 Q 8,12,20,double,2.0,loss,-2.0
