dimension,level,rounds_per_strategy,replications,mean_basic_return_pct,mean_simplified_return_pct,mean_paired_advantage_pct,sd_paired_advantage_pct,empirical_reversal_probability
Decks,4,2500,500,-0.35464000000000007,-6.1062,5.75156,2.7989743265992857,0.014
Decks,6 (baseline),2500,500,-0.4592399999999999,-6.05832,5.59908,2.6518217645501525,0.02
Decks,8,2500,500,-0.5810799999999999,-6.228560000000001,5.647480000000001,2.648762264278418,0.022
Dealer soft 17,Stand (baseline),2500,500,-0.40232,-5.973959999999999,5.5716399999999995,2.7352750445867557,0.026
Dealer soft 17,Hit,2500,500,-0.69372,-5.986479999999999,5.29276,2.6491402890262123,0.02
Blackjack payout,3:2 (baseline),2500,500,-0.34012,-5.953519999999999,5.6133999999999995,2.7028272216292257,0.012
Blackjack payout,6:5,2500,500,-1.6353919999999966,-7.346864000000009,5.711472000000011,2.734798803973055,0.024
Penetration,50%,2500,500,-0.34392,-5.987120000000001,5.643200000000001,2.67418673794835,0.014
Penetration,75% (baseline),2500,500,-0.42543999999999993,-6.09108,5.66564,2.591298099811013,0.012
Penetration,90%,2500,500,-0.41044,-5.99912,5.58868,2.753461632113118,0.02
Surrender,Not allowed (baseline),2500,500,-0.37915999999999994,-5.9563999999999995,5.57724,2.7457585404264244,0.026
Surrender,Late surrender,2500,500,-0.21824000000000005,-5.9954,5.77716,2.620360989985096,0.018
Resplitting,Allowed (baseline),2500,500,-0.40371999999999997,-6.0019599999999995,5.59824,2.6144586610962435,0.014
Resplitting,Not allowed,2500,500,-0.43992000000000003,-6.107,5.66708,2.6748498868973694,0.016
