sample_size,replications,bootstrap_resamples,mean_difference_pct,normal_ci_95_lower,normal_ci_95_upper,normal_ci_width,bootstrap_percentile_ci_95_lower,bootstrap_percentile_ci_95_upper,bootstrap_ci_width
25,10000,1000,6.044,5.519601552352193,6.568398447647806,1.048796895295613,5.51799,6.58188,1.0638899999999998
50,10000,1000,5.9211,5.552826702888381,6.289373297111619,0.7365465942232383,5.5781975,6.2934275,0.71523
100,10000,1000,5.6013,5.336199053656263,5.866400946343737,0.5302018926874741,5.33178875,5.86086375,0.5290749999999997
250,10000,1000,5.636,5.467722171628845,5.804277828371156,0.3365556567423109,5.471567,5.804725,0.33315800000000007
500,10000,1000,5.63437,5.515309978436015,5.753430021563984,0.23812004312796908,5.515624,5.756206,0.24058199999999985
1000,10000,1000,5.62295,5.538879291299445,5.707020708700556,0.16814141740111133,5.535555875,5.704253874999999,0.16869799999999913
2500,10000,1000,5.575868,5.522591770708582,5.629144229291418,0.10655245858283635,5.51906245,5.6303953,0.11133285000000015
5000,10000,1000,5.609692,5.572411876155522,5.646972123844478,0.07456024768895553,5.570515449999999,5.645981924999999,0.07546647499999981
10000,10000,1000,5.589525999999999,5.563130885922451,5.615921114077548,0.052790228155096486,5.5635313250000005,5.6173766,0.05384527499999958
25000,10000,1000,5.5780864,5.5610328071860415,5.595139992813959,0.03410718562791715,5.56153185,5.59462093,0.03308907999999988
50000,10000,1000,5.581641499999999,5.569669504571745,5.5936134954282535,0.02394399085650889,5.570130095,5.5929231325,0.0227930375000005
