domain,target_reversal_probability,design,mean_difference,effective_per_observation_sd,required_sample_size
Blackjack,0.1,Paired,5.582893243243243,135.90874819239386,974
Blackjack,0.1,Unpaired,5.582893243243243,151.27584428984875,1206
Blackjack,0.05,Paired,5.582893243243243,135.90874819239386,1604
Blackjack,0.05,Unpaired,5.582893243243243,151.27584428984875,1987
Blackjack,0.01,Paired,5.582893243243243,135.90874819239386,3208
Blackjack,0.01,Unpaired,5.582893243243243,151.27584428984875,3974
Inventory,0.1,Paired,1.1726690918918918,6.994670673053088,59
Inventory,0.1,Unpaired,1.1726690918918918,33.41287420761011,1334
Inventory,0.05,Paired,1.1726690918918918,6.994670673053088,97
Inventory,0.05,Unpaired,1.1726690918918918,33.41287420761011,2197
Inventory,0.01,Paired,1.1726690918918918,6.994670673053088,193
Inventory,0.01,Unpaired,1.1726690918918918,33.41287420761011,4394
Queue,0.1,Paired,2.275198414054054,4.80677890099558,8
Queue,0.1,Unpaired,2.275198414054054,6.440448778738559,14
Queue,0.05,Paired,2.275198414054054,4.80677890099558,13
Queue,0.05,Unpaired,2.275198414054054,6.440448778738559,22
Queue,0.01,Paired,2.275198414054054,4.80677890099558,25
Queue,0.01,Unpaired,2.275198414054054,6.440448778738559,44
